KEY_benef_mun,KEY_inegi_municipio
oaxaca-santa maria sola,oaxaca-santa maria sola
oaxaca-ciudad ixtepec,oaxaca-ciudad ixtepec
oaxaca-san pedro taviche,oaxaca-san pedro taviche
oaxaca-san juan teitipac,oaxaca-san juan teitipac
oaxaca-reforma de pineda,oaxaca-reforma de pineda
oaxaca-santiago apoala,oaxaca-santiago apoala
oaxaca-santa cruz papalutla,oaxaca-santa cruz papalutla
oaxaca-santo domingo ingenio,oaxaca-santo domingo ingenio
durango-penon blanco,durango-penon blanco
oaxaca-santa catarina quioquitani,oaxaca-santa catarina quioquitani
oaxaca-santiago niltepec,oaxaca-santiago niltepec
chiapas-chicoasen,chiapas-chicoasen
tlaxcala-yauhquemehcan,tlaxcala-yauhquemehcan
oaxaca-santa maria ixcatlan,oaxaca-santa maria ixcatlan
oaxaca-san miguel chicahua,oaxaca-san miguel chicahua
puebla-ocoyucan,puebla-ocoyucan
chiapas-ixtacomitan,chiapas-ixtacomitan
zacatecas-tabasco,zacatecas-tabasco
oaxaca-san cristobal amatlan,oaxaca-san cristobal amatlan
oaxaca-san pablo coatlan,oaxaca-san pablo coatlan
morelos-tlalnepantla,morelos-tlalnepantla
puebla-santo tomas hueyotlipan,puebla-santo tomas hueyotlipan
oaxaca-san pablo yaganiza,oaxaca-san pablo yaganiza
chiapas-metapa,chiapas-metapa
nayarit-san blas,nayarit-san blas
oaxaca-el espinal,oaxaca-el espinal
oaxaca-santo domingo xagacia,oaxaca-santo domingo xagacia
oaxaca-santa catarina zapoquila,oaxaca-santa catarina zapoquila
oaxaca-magdalena tlacotepec,oaxaca-magdalena tlacotepec
oaxaca-santa maria texcatitlan,oaxaca-santa maria texcatitlan
chiapas-chanal,chiapas-chanal
zacatecas-general enrique estrada,zacatecas-general enrique estrada
oaxaca-san francisco del mar,oaxaca-san francisco del mar
chiapas-tuxtla gutierrez,chiapas-tuxtla gutierrez
oaxaca-santa maria tlalixtac,oaxaca-santa maria tlalixtac
morelos-tetela del volcan,morelos-tetela del volcan
oaxaca-cuyamecalco villa de zaragoza,oaxaca-cuyamecalco villa de zaragoza
oaxaca-santo domingo chihuitan,oaxaca-santo domingo chihuitan
zacatecas-valparaiso,zacatecas-valparaiso
tlaxcala-zacatelco,tlaxcala-zacatelco
oaxaca-san miguel tlacotepec,oaxaca-san miguel tlacotepec
morelos-miacatlan,morelos-miacatlan
oaxaca-san andres zautla,oaxaca-san andres zautla
oaxaca-santiago comaltepec,oaxaca-santiago comaltepec
morelos-atlatlahucan,morelos-atlatlahucan
tlaxcala-san pablo del monte,tlaxcala-san pablo del monte
tlaxcala-papalotla de xicohtencatl,tlaxcala-papalotla de xicohtencatl
oaxaca-san miguel mixtepec,oaxaca-san miguel mixtepec
oaxaca-santa cruz mixtepec,oaxaca-santa cruz mixtepec
oaxaca-san antonino el alto,oaxaca-san antonino el alto
oaxaca-magdalena mixtepec,oaxaca-magdalena mixtepec
oaxaca-santa ana tlapacoyan,oaxaca-santa ana tlapacoyan
oaxaca-san vicente lachixio,oaxaca-san vicente lachixio
oaxaca-san pablo huixtepec,oaxaca-san pablo huixtepec
oaxaca-soledad etla,oaxaca-soledad etla
zacatecas-el salvador,zacatecas-el salvador
oaxaca-santiago lalopa,oaxaca-santiago lalopa
oaxaca-santa ana zegache,oaxaca-santa ana zegache
oaxaca-san miguel panixtlahuaca,oaxaca-san miguel panixtlahuaca
oaxaca-san jose ayuquila,oaxaca-san jose ayuquila
oaxaca-villa de etla,oaxaca-villa de etla
oaxaca-san cristobal lachirioag,oaxaca-san cristobal lachirioag
oaxaca-san martin itunyoso,oaxaca-san martin itunyoso
chiapas-mitontic,chiapas-mitontic
oaxaca-santa cruz zenzontepec,oaxaca-santa cruz zenzontepec
puebla-mixtla,puebla-mixtla
oaxaca-san mateo yoloxochitlan,oaxaca-san mateo yoloxochitlan
oaxaca-san dionisio ocotepec,oaxaca-san dionisio ocotepec
oaxaca-san sebastian abasolo,oaxaca-san sebastian abasolo
oaxaca-santa maria nativitas,oaxaca-santa maria nativitas
oaxaca-santiago atitlan,oaxaca-santiago atitlan
oaxaca-san andres solaga,oaxaca-san andres solaga
oaxaca-santiago xiacui,oaxaca-santiago xiacui
oaxaca-villa talea de castro,oaxaca-villa talea de castro
oaxaca-san juan lachao,oaxaca-san juan lachao
oaxaca-trinidad zaachila,oaxaca-trinidad zaachila
oaxaca-san miguel tulancingo,oaxaca-san miguel tulancingo
oaxaca-san juan bautista guelache,oaxaca-san juan bautista guelache
oaxaca-san juan juquila vijanos,oaxaca-san juan juquila vijanos
chiapas-honduras de la sierra,chiapas-honduras de la sierra
oaxaca-san antonio acutla,oaxaca-san antonio acutla
oaxaca-san pedro quiatoni,oaxaca-san pedro quiatoni
oaxaca-santa catarina minas,oaxaca-santa catarina minas
oaxaca-santa maria lachixio,oaxaca-santa maria lachixio
oaxaca-san bernardo mixtepec,oaxaca-san bernardo mixtepec
oaxaca-san martin tilcajete,oaxaca-san martin tilcajete
oaxaca-santo domingo yanhuitlan,oaxaca-santo domingo yanhuitlan
oaxaca-san juan del rio,oaxaca-san juan del rio
oaxaca-santa lucia monteverde,oaxaca-santa lucia monteverde
tlaxcala-tlaxcala,tlaxcala-tlaxcala
puebla-tepanco de lopez,puebla-tepanco de lopez
oaxaca-san andres paxtlan,oaxaca-san andres paxtlan
oaxaca-san miguel suchixtepec,oaxaca-san miguel suchixtepec
oaxaca-santa cruz xitla,oaxaca-santa cruz xitla
oaxaca-san vicente coatlan,oaxaca-san vicente coatlan
oaxaca-san francisco logueche,oaxaca-san francisco logueche
oaxaca-san sebastian nicananduta,oaxaca-san sebastian nicananduta
oaxaca-san pablo etla,oaxaca-san pablo etla
oaxaca-san antonino monte verde,oaxaca-san antonino monte verde
oaxaca-santiago nundiche,oaxaca-santiago nundiche
oaxaca-santo tomas jalieza,oaxaca-santo tomas jalieza
oaxaca-san andres huayapam,oaxaca-san andres huayapam
oaxaca-tlalixtac de cabrera,oaxaca-tlalixtac de cabrera
oaxaca-san francisco jaltepetongo,oaxaca-san francisco jaltepetongo
oaxaca-san jose lachiguiri,oaxaca-san jose lachiguiri
oaxaca-san sebastian coatlan,oaxaca-san sebastian coatlan
oaxaca-santiago matatlan,oaxaca-santiago matatlan
oaxaca-santa ana del valle,oaxaca-santa ana del valle
puebla-xochitlan todos santos,puebla-xochitlan todos santos
oaxaca-santa maria guelace,oaxaca-santa maria guelace
tlaxcala-apetatitlan de antonio carvajal,tlaxcala-apetatitlan de antonio carvajal
oaxaca-santiago textitlan,oaxaca-santiago textitlan
oaxaca-concepcion buenavista,oaxaca-concepcion buenavista
oaxaca-san jose independencia,oaxaca-san jose independencia
oaxaca-san sebastian teitipac,oaxaca-san sebastian teitipac
oaxaca-san juan guelavia,oaxaca-san juan guelavia
oaxaca-san bartolome loxicha,oaxaca-san bartolome loxicha
oaxaca-asuncion nochixtlan,oaxaca-asuncion nochixtlan
oaxaca-san pedro topiltepec,oaxaca-san pedro topiltepec
oaxaca-san martin de los cansecos,oaxaca-san martin de los cansecos
oaxaca-santo tomas tamazulapan,oaxaca-santo tomas tamazulapan
oaxaca-santa catalina quieri,oaxaca-santa catalina quieri
oaxaca-santa maria zaniza,oaxaca-santa maria zaniza
oaxaca-santa maria del rosario,oaxaca-santa maria del rosario
oaxaca-santa maria yucuhiti,oaxaca-santa maria yucuhiti
oaxaca-san miguel piedras,oaxaca-san miguel piedras
oaxaca-san vicente nunu,oaxaca-san vicente nunu
zacatecas-tlaltenango de sanchez roman,zacatecas-tlaltenango de sanchez roman
oaxaca-san miguel peras,oaxaca-san miguel peras
oaxaca-santa ines de zaragoza,oaxaca-santa ines de zaragoza
oaxaca-san juan quiahije,oaxaca-san juan quiahije
oaxaca-san ildefonso amatlan,oaxaca-san ildefonso amatlan
oaxaca-san antonio huitepec,oaxaca-san antonio huitepec
oaxaca-san pablo huitzo,oaxaca-san pablo huitzo
oaxaca-santiago tenango,oaxaca-santiago tenango
oaxaca-magdalena ocotlan,oaxaca-magdalena ocotlan
oaxaca-santa lucia ocotlan,oaxaca-santa lucia ocotlan
oaxaca-san andres cabecera nueva,oaxaca-san andres cabecera nueva
oaxaca-santa maria xadani,oaxaca-santa maria xadani
oaxaca-sitio de xitlapehua,oaxaca-sitio de xitlapehua
oaxaca-union hidalgo,oaxaca-union hidalgo
oaxaca-san juan yatzona,oaxaca-san juan yatzona
oaxaca-san juan bautista atatlahuca,oaxaca-san juan bautista atatlahuca
oaxaca-santa ana tavela,oaxaca-santa ana tavela
oaxaca-san miguel ejutla,oaxaca-san miguel ejutla
oaxaca-san jose del penasco,oaxaca-san jose del penasco
oaxaca-santa ana ateixtlahuaca,oaxaca-santa ana ateixtlahuaca
oaxaca-san miguel del rio,oaxaca-san miguel del rio
oaxaca-san mateo penasco,oaxaca-san mateo penasco
zacatecas-melchor ocampo,zacatecas-melchor ocampo
oaxaca-yaxe,oaxaca-yaxe
oaxaca-fresnillo de trujano,oaxaca-fresnillo de trujano
oaxaca-san dionisio ocotlan,oaxaca-san dionisio ocotlan
oaxaca-santa catarina cuixtla,oaxaca-santa catarina cuixtla
oaxaca-san nicolas,oaxaca-san nicolas
oaxaca-san miguel achiutla,oaxaca-san miguel achiutla
oaxaca-san juan chicomezuchil,oaxaca-san juan chicomezuchil
oaxaca-santa catarina ticua,oaxaca-santa catarina ticua
oaxaca-san juan bautista suchitepec,oaxaca-san juan bautista suchitepec
puebla-los reyes de juarez,puebla-los reyes de juarez
tlaxcala-la magdalena tlaltelulco,tlaxcala-la magdalena tlaltelulco
oaxaca-cosoltepec,oaxaca-cosoltepec
oaxaca-santa maria totolapilla,oaxaca-santa maria totolapilla
tlaxcala-san lucas tecopilco,tlaxcala-san lucas tecopilco
zacatecas-nochistlan de mejia,zacatecas-nochistlan de mejia
oaxaca-chahuites,oaxaca-chahuites
oaxaca-santa maria temaxcalapa,oaxaca-santa maria temaxcalapa
puebla-mazapiltepec de juarez,puebla-mazapiltepec de juarez
oaxaca-capulalpam de mendez,oaxaca-capulalpam de mendez
oaxaca-asuncion cuyotepeji,oaxaca-asuncion cuyotepeji
chiapas-tuzantan,chiapas-tuzantan
oaxaca-villa de tamazulapam del progreso,oaxaca-villa de tamazulapam del progreso
puebla-san jose chiapa,puebla-san jose chiapa
zacatecas-genaro codina,zacatecas-genaro codina
puebla-tochtepec,puebla-tochtepec
oaxaca-san pedro cajonos,oaxaca-san pedro cajonos
tlaxcala-san damian texoloc,tlaxcala-san damian texoloc
oaxaca-la reforma,oaxaca-la reforma
oaxaca-san pedro ixtlahuaca,oaxaca-san pedro ixtlahuaca
chiapas-union juarez,chiapas-union juarez
oaxaca-santiago nuyoo,oaxaca-santiago nuyoo
oaxaca-santa ana,oaxaca-santa ana
oaxaca-santa cruz tayata,oaxaca-santa cruz tayata
zacatecas-zacatecas,zacatecas-zacatecas
oaxaca-santa magdalena jicotlan,oaxaca-santa magdalena jicotlan
oaxaca-san jose estancia grande,oaxaca-san jose estancia grande
oaxaca-santa catarina mechoacan,oaxaca-santa catarina mechoacan
oaxaca-rojas de cuauhtemoc,oaxaca-rojas de cuauhtemoc
tlaxcala-san jeronimo zacualpan,tlaxcala-san jeronimo zacualpan
tlaxcala-san francisco tetlanohcan,tlaxcala-san francisco tetlanohcan
nayarit-xalisco,nayarit-xalisco
oaxaca-santiago tilantongo,oaxaca-santiago tilantongo
tlaxcala-cuaxomulco,tlaxcala-cuaxomulco
oaxaca-san nicolas hidalgo,oaxaca-san nicolas hidalgo
chiapas-san andres duraznal,chiapas-san andres duraznal
oaxaca-san andres dinicuiti,oaxaca-san andres dinicuiti
oaxaca-santiago zoochila,oaxaca-santiago zoochila
tlaxcala-santa ana nopalucan,tlaxcala-santa ana nopalucan
oaxaca-santiago del rio,oaxaca-santiago del rio
oaxaca-santo domingo albarradas,oaxaca-santo domingo albarradas
oaxaca-san lorenzo victoria,oaxaca-san lorenzo victoria
oaxaca-chalcatongo de hidalgo,oaxaca-chalcatongo de hidalgo
puebla-san miguel xoxtla,puebla-san miguel xoxtla
oaxaca-san pedro amuzgos,oaxaca-san pedro amuzgos
oaxaca-san juan yaee,oaxaca-san juan yaee
oaxaca-santa maria apazco,oaxaca-santa maria apazco
oaxaca-abejones,oaxaca-abejones
oaxaca-san pablo tijaltepec,oaxaca-san pablo tijaltepec
oaxaca-santiago huauclilla,oaxaca-santiago huauclilla
oaxaca-san pedro molinos,oaxaca-san pedro molinos
oaxaca-san juan bautista coixtlahuaca,oaxaca-san juan bautista coixtlahuaca
oaxaca-tanetze de zaragoza,oaxaca-tanetze de zaragoza
oaxaca-san martin huamelulpam,oaxaca-san martin huamelulpam
oaxaca-san antonio sinicahua,oaxaca-san antonio sinicahua
oaxaca-santiago yolomecatl,oaxaca-santiago yolomecatl
oaxaca-san juan teposcolula,oaxaca-san juan teposcolula
oaxaca-san pablo macuiltianguis,oaxaca-san pablo macuiltianguis
oaxaca-santa maria yalina,oaxaca-santa maria yalina
oaxaca-santa maria jaltianguis,oaxaca-santa maria jaltianguis
oaxaca-san miguel yotao,oaxaca-san miguel yotao
oaxaca-reyes etla,oaxaca-reyes etla
oaxaca-san juan tabaa,oaxaca-san juan tabaa
oaxaca-santo domingo tonaltepec,oaxaca-santo domingo tonaltepec
oaxaca-teotitlan del valle,oaxaca-teotitlan del valle
oaxaca-san juan evangelista analco,oaxaca-san juan evangelista analco
oaxaca-villa de chilapa de diaz,oaxaca-villa de chilapa de diaz
oaxaca-san juan sayultepec,oaxaca-san juan sayultepec
oaxaca-san cristobal amoltepec,oaxaca-san cristobal amoltepec
oaxaca-santiago ayuquililla,oaxaca-santiago ayuquililla
oaxaca-san francisco chindua,oaxaca-san francisco chindua
oaxaca-san miguel tequixtepec,oaxaca-san miguel tequixtepec
morelos-xochitepec,morelos-xochitepec
oaxaca-oaxaca de juarez,oaxaca-oaxaca de juarez
oaxaca-santa cruz de bravo,oaxaca-santa cruz de bravo
oaxaca-santo domingo ixcatlan,oaxaca-santo domingo ixcatlan
oaxaca-magdalena zahuatlan,oaxaca-magdalena zahuatlan
oaxaca-magdalena apasco,oaxaca-magdalena apasco
tlaxcala-santa apolonia teacalco,tlaxcala-santa apolonia teacalco
chiapas-sunuapa,chiapas-sunuapa
oaxaca-teotongo,oaxaca-teotongo
oaxaca-san lorenzo albarradas,oaxaca-san lorenzo albarradas
oaxaca-san pedro yucunama,oaxaca-san pedro yucunama
oaxaca-san antonio nanahuatipam,oaxaca-san antonio nanahuatipam
tlaxcala-contla de juan cuamatzi,tlaxcala-contla de juan cuamatzi
oaxaca-san pedro nopala,oaxaca-san pedro nopala
oaxaca-santa maria guienagati,oaxaca-santa maria guienagati
oaxaca-san bartolo soyaltepec,oaxaca-san bartolo soyaltepec
zacatecas-luis moya,zacatecas-luis moya
zacatecas-villanueva,zacatecas-villanueva
oaxaca-santa catarina quiane,oaxaca-santa catarina quiane
zacatecas-tepetongo,zacatecas-tepetongo
oaxaca-santa ana cuauhtemoc,oaxaca-santa ana cuauhtemoc
tlaxcala-tenancingo,tlaxcala-tenancingo
oaxaca-santa maria yavesia,oaxaca-santa maria yavesia
oaxaca-santo domingo tomaltepec,oaxaca-santo domingo tomaltepec
oaxaca-san marcial ozolotepec,oaxaca-san marcial ozolotepec
oaxaca-san lucas camotlan,oaxaca-san lucas camotlan
oaxaca-villa tejupam de la union,oaxaca-villa tejupam de la union
chiapas-santiago el pinar,chiapas-santiago el pinar
oaxaca-san andres sinaxtla,oaxaca-san andres sinaxtla
oaxaca-santa maria coyotepec,oaxaca-santa maria coyotepec
tlaxcala-amaxac de guerrero,tlaxcala-amaxac de guerrero
oaxaca-san miguel tecomatlan,oaxaca-san miguel tecomatlan
morelos-zacatepec,morelos-zacatepec
oaxaca-san miguel huautla,oaxaca-san miguel huautla
oaxaca-san juan teita,oaxaca-san juan teita
oaxaca-san pedro el alto,oaxaca-san pedro el alto
oaxaca-san jeronimo silacayoapilla,oaxaca-san jeronimo silacayoapilla
oaxaca-san lorenzo cacaotepec,oaxaca-san lorenzo cacaotepec
oaxaca-san miguel tilquiapam,oaxaca-san miguel tilquiapam
oaxaca-santa ana yareni,oaxaca-santa ana yareni
zacatecas-jimenez del teul,zacatecas-jimenez del teul
oaxaca-san pedro tidaa,oaxaca-san pedro tidaa
oaxaca-san pedro coxcaltepec cantaros,oaxaca-san pedro coxcaltepec cantaros
oaxaca-magdalena yodocono de porfirio diaz,oaxaca-magdalena yodocono de porfirio diaz
oaxaca-san mateo rio hondo,oaxaca-san mateo rio hondo
oaxaca-santiago yucuyachi,oaxaca-santiago yucuyachi
oaxaca-santiago ihuitlan plumas,oaxaca-santiago ihuitlan plumas
oaxaca-santiago nejapilla,oaxaca-santiago nejapilla
oaxaca-santa lucia miahuatlan,oaxaca-santa lucia miahuatlan
oaxaca-santa maria nduayaco,oaxaca-santa maria nduayaco
oaxaca-santa maria chachoapam,oaxaca-santa maria chachoapam
oaxaca-san francisco nuxano,oaxaca-san francisco nuxano
oaxaca-san francisco lachigolo,oaxaca-san francisco lachigolo
oaxaca-santa maria tataltepec,oaxaca-santa maria tataltepec
oaxaca-san pablo cuatro venados,oaxaca-san pablo cuatro venados
oaxaca-santiago tillo,oaxaca-santiago tillo
oaxaca-san mateo tlapiltepec,oaxaca-san mateo tlapiltepec
oaxaca-san francisco teopan,oaxaca-san francisco teopan
oaxaca-san bartolome quialana,oaxaca-san bartolome quialana
oaxaca-san agustin de las juntas,oaxaca-san agustin de las juntas
oaxaca-santiago tepetlapa,oaxaca-santiago tepetlapa
oaxaca-santiago tlazoyaltepec,oaxaca-santiago tlazoyaltepec
oaxaca-guadalupe etla,oaxaca-guadalupe etla
oaxaca-nazareno etla,oaxaca-nazareno etla
oaxaca-san juan diuxi,oaxaca-san juan diuxi
oaxaca-san juan yucuita,oaxaca-san juan yucuita
oaxaca-san agustin amatengo,oaxaca-san agustin amatengo
oaxaca-san agustin etla,oaxaca-san agustin etla
oaxaca-san juan achiutla,oaxaca-san juan achiutla
oaxaca-santa ines del monte,oaxaca-santa ines del monte
morelos-jiutepec,morelos-jiutepec
oaxaca-san pedro yaneri,oaxaca-san pedro yaneri
tlaxcala-santa cruz quilehtla,tlaxcala-santa cruz quilehtla
tlaxcala-santa isabel xiloxoxtla,tlaxcala-santa isabel xiloxoxtla
oaxaca-santa ines yatzeche,oaxaca-santa ines yatzeche
oaxaca-tepelmeme villa de morelos,oaxaca-tepelmeme villa de morelos
oaxaca-tlacotepec plumas,oaxaca-tlacotepec plumas
oaxaca-guelatao de juarez,oaxaca-guelatao de juarez
chiapas-capitan luis angel vidal,chiapas-capitan luis angel vidal
oaxaca-juchitan de zaragoza,oaxaca-juchitan de zaragoza
zacatecas-cuauhtemoc,zacatecas-cuauhtemoc
oaxaca-san pedro martir yucuxaco,oaxaca-san pedro martir yucuxaco
tlaxcala-san juan huactzinco,tlaxcala-san juan huactzinco
zacatecas-trinidad garcia de la cadena,zacatecas-trinidad garcia de la cadena
oaxaca-san cristobal suchixtlahuaca,oaxaca-san cristobal suchixtlahuaca
oaxaca-san mateo sindihui,oaxaca-san mateo sindihui
oaxaca-la trinidad vista hermosa,oaxaca-la trinidad vista hermosa
oaxaca-san pedro ocotepec,oaxaca-san pedro ocotepec
oaxaca-san baltazar yatzachi el bajo,oaxaca-san baltazar yatzachi el bajo
oaxaca-santa cruz xoxocotlan,oaxaca-santa cruz xoxocotlan
oaxaca-san andres tepetlapa,oaxaca-san andres tepetlapa
oaxaca-san bartolome zoogocho,oaxaca-san bartolome zoogocho
oaxaca-santa lucia del camino,oaxaca-santa lucia del camino